sku,nombre,estado_actual,ruta_imagen_actual,ubicacion,notas
prod-00868,ENALAPRIL MALEATO 5MG BLISTER,ok,imagenesmedimentos/reales/prod-00868.png,reales,
prod-00432,LOSARTAN 50MG EXPOFARMA 30CAPS,ok,imagenesmedimentos/reales/prod-00432.jpg,reales,OJO: script.js fuerza la imagen 'imagenesmedimentos/losartan50mg.png' para este SKU sin importar productos.json
prod-00433,ACETAMINOFEN 150MG JARABE 120M,ok,imagenesmedimentos/reales/prod-00433.webp,reales,
prod-00896,ACETAMINOFEN 500MG+CAFEINA 65M,ok,imagenesmedimentos/reales/prod-00896.jpg,reales,
prod-00422,ACETAMINOFEN/CODEINA AG 30MG,ok,imagenesmedimentos/reales/prod-00422.png,reales,
prod-00119,CARDIOASPIRINA 100 MG 30 TABLE,ok,imagenesmedimentos/reales/prod-00119.jpg,reales,
prod-00124,CARDIOASPIRINA 81 MG 30 TABLET,ok,imagenesmedimentos/reales/prod-00124.jpg,reales,
prod-00046,DOLEX JARABE NIÑOS 2+,ok,imagenesmedimentos/reales/prod-00046.jpg,reales,
prod-00045,DOLEX JARABE NIÑOS 7+,ok,imagenesmedimentos/reales/prod-00045.jpg,reales,
prod-00581,DOLEX TABLETAS MASTICABLES 2+,ok,imagenesmedimentos/reales/prod-00581.jpg,reales,
prod-00329,HIOSCINA + DIPIRONA 20MG AMPOL,ok,imagenesmedimentos/reales/prod-00329.jpg,reales,
prod-00244,AMOXICILINA 100ML SUSPENS AG,ok,imagenesmedimentos/reales/prod-00244.jpg,reales,
prod-00490,AMOXICILINA 250MG SUSPENSION G,ok,imagenesmedimentos/reales/prod-00490.jpg,reales,
prod-00245,AMOXICILINA 500MG AG,ok,imagenesmedimentos/reales/prod-00245.webp,reales,
prod-00516,AMOXICILINA POLVO 100ML LA SAN,ok,imagenesmedimentos/reales/prod-00516.jpg,reales,
prod-00517,AMOXICILINA POLVO 45ML LA SANT,ok,imagenesmedimentos/reales/prod-00517.jpg,reales,
prod-00233,AMOXIDAL DUO 14 COMPRIMIDOS,ok,imagenesmedimentos/reales/prod-00233.jpg,reales,
prod-00232,AMOXIDAL DUO SUSPENSION 120ML,ok,imagenesmedimentos/reales/prod-00232.jpg,reales,
prod-00518,AZITROMICINA 15ML POLVO LA SAN,sin_resolver,imagenesmedimentos/genericas/otros.svg,genericas,"Archivo(s) huerfano(s) en reales/ con mismo SKU y distinta extension, no referenciado(s): prod-00518.jpg; QA visual: foto es Azitromicina marca MK, descripción indica marca La Sante; Fase 2: reemplazada desde fuente permitida (https://www.locatelcolombia.com/7702057070922-azitromicina-mk-200mg-5ml-suspension-oral-x-15ml/p); QA2 tras Fase 2: sigue sin coincidir (marca MK en la caja, no La Santé); imagen descartada movida a _descartadas_qa2/; QA visual (candidato pre-nuevos-dominios): sigue sin coincidir, va a cola de reintento con nuevas fuentes"
prod-00246,AZITROMICINA 500MG AG,ok,imagenesmedimentos/reales/prod-00246.jpg,reales,
prod-00248,CEFALEXINA 250 MG SUSPENSION,ok,imagenesmedimentos/reales/prod-00248.png,reales,
prod-00065,CEFALEXINA 500 MG AG TABLETAS,ok,imagenesmedimentos/reales/prod-00065.webp,reales,
prod-00080,PROCATEC CIPROFLOXACINA 500 MG,ok,imagenesmedimentos/reales/prod-00080.jpg,reales,
prod-00496,ADVIL GRIPA MAX 2 CAPSULAS,ok,imagenesmedimentos/reales/prod-00496.webp,reales,
prod-00135,ALGODON MOTOCITOS 100G,corregida,imagenesmedimentos/reales/prod-00135.jpg,reales,Fase 2: reemplazada desde fuente permitida (https://www.locatelcolombia.com/7702057077082_1_algodon-mk-pomos-bolsa-x-100g/p)
prod-00133,ALGODON MOTOCITOS 25G,sin_resolver,imagenesmedimentos/genericas/antigripales.svg,genericas,Fase 2: sin coincidencia confiable en fuentes permitidas
prod-00134,ALGODON MOTOCITOS 50G,sin_resolver,imagenesmedimentos/genericas/antigripales.svg,genericas,Fase 2: sin coincidencia confiable en fuentes permitidas
prod-00429,BLOQUEADOR SUNDARK ADULTOS SOB,ok,imagenesmedimentos/reales/prod-00429.jpg,reales,
prod-00526,DESLORATADINA 5MG 10 TB LAPROF,ok,imagenesmedimentos/reales/prod-00526.jpg,reales,
prod-00492,DESLORATADINA 5MG GENFAR 10T,ok,imagenesmedimentos/reales/prod-00492.jpg,reales,
prod-00521,DESLORATADINA 60ML JARABE LA S,ok,imagenesmedimentos/reales/prod-00521.jpg,reales,
prod-00515,DESLORATADINA JARABE ECAR 60ML,corregida,imagenesmedimentos/reales/prod-00515.jpg,reales,"OJO: script.js fuerza la imagen 'imagenesmedimentos/loratadina10mg.png' para este SKU sin importar productos.json; Fase 2: sin coincidencia confiable en fuentes permitidas; QA visual (candidato pre-nuevos-dominios): sigue sin coincidir, va a cola de reintento con nuevas fuentes; Fase 2 reintento 2 (dominios ampliados): candidato encontrado pero sigue sin coincidir tras QA visual; Fase 2 reintento 3 (12 fuentes, incl. Tu Drogueria Virtual): confirmada por QA visual"
