Total pendientes: 119

prod-00366 | nombre='REPELENTE MOSQUITOS OUT 60ML' | desc='REPELENTE MOSQUITOS OUT 60ML' | cat='Antigripales'
prod-00588 | nombre='CREMA CALENDULA 30G CHENIER' | desc='CREMA CALENDULA 30G CHENIER' | cat='Cuidado personal'
prod-00598 | nombre='PROTECTORES DE LACTANCIA AVENT' | desc='PROTECTORES DE LACTANCIA AVENT 24 UNIDADES' | cat='Cuidado personal'
prod-00345 | nombre='SHAMPOO HEAD & SHOULDERS SOBRE' | desc='SHAMPOO HEAD & SHOULDERS SOBRE' | cat='Cuidado personal'
prod-00362 | nombre='YODORA CLASICO CREMA 12G' | desc='YODORA CLASICO CREMA 12G' | cat='Cuidado personal'
prod-00556 | nombre='ACONDICIONADOR SEDAL 340ML' | desc='ACONDICIONADOR SEDAL 340ML CERAMIDAS' | cat='Otros'
prod-00464 | nombre='AMLODIPINO 5MG - 10 TABL COASP' | desc='AMLODIPINO 5MG - 10 TABL COASP' | cat='Otros'
prod-00143 | nombre='CELECOXIB 100 MG SANFER' | desc='CELECOXIB 100 MG SANFER' | cat='Otros'
prod-00886 | nombre='COLAGENO+BIOTINA PHARBIO X30' | desc='COLAGENO+BIOTINA PHARBIO X30' | cat='Otros'
prod-00893 | nombre='GENTAMICINA SOLUCION OPTICA5ML' | desc='GENTAMICINA 0,3% SOLUCION OPTICA 5 ML' | cat='Otros'
prod-00197 | nombre='KOLA GRANULADA FRESA 135G' | desc='KOLA GRANULADA FRESA 135G' | cat='Otros'
prod-00198 | nombre='KOLA GRANULADA FRESA 380G' | desc='KOLA GRANULADA FRESA 380G' | cat='Otros'
prod-00443 | nombre='PANTOPRAZOL 20MG COLMED 30TABL' | desc='PANTOPRAZOL 20MG COLMED 30TABL' | cat='Otros'
prod-00710 | nombre='POLVO COMPA VOGUE' | desc='POLVO COMPA VOGUE' | cat='Otros'
prod-00312 | nombre='PREDNISOLONA 5MG LAPROFF 10 TA' | desc='PREDNISOLONA 5MG LAPROFF 10 TA' | cat='Otros'
prod-00601 | nombre='PROWHEY KALORI 200ML LIQUIDO' | desc='PROWHEY KALORI 200ML LIQUIDO' | cat='Otros'
