SKU|estado|nota
prod-00868|ok|
prod-00432|ok|
prod-00433|ok|
prod-00896|ok|
prod-00422|ok|
prod-00119|ok|
prod-00124|ok|
prod-00046|ok|
prod-00045|ok|
prod-00581|ok|
prod-00329|ok|
prod-00244|ok|
prod-00490|ok|
prod-00245|ok|
prod-00516|ok|
prod-00517|ok|
prod-00233|ok|
prod-00232|ok|
prod-00518|sospechosa|foto es Azitromicina marca MK, descripción indica marca La Sante
prod-00246|ok|
prod-00248|ok|
prod-00065|ok|
prod-00080|ok|
prod-00496|ok|
prod-00429|ok|
prod-00526|ok|
prod-00492|ok|
prod-00521|ok|
prod-00285|ok|
prod-00511|ok|
prod-00494|ok|
prod-00530|ok|
prod-00295|ok|
prod-00126|ok|
prod-00127|ok|
prod-00032|ok|
prod-00366|sospechosa|foto muestra repelente Fly Out 100ml, no marca OUT de 60ml
prod-00007|sospechosa|foto es VickMiel (jarabe con miel/guaifenesina), no Vick 44 expectorante
prod-00100|ok|
prod-00110|ok|
prod-00554|ok|
prod-00493|ok|
prod-00523|ok|
prod-00332|ok|
prod-00891|ok|
prod-00892|ok|
prod-00284|ok|
prod-00821|ok|
prod-00359|ok|
prod-00360|ok|
prod-00358|ok|
prod-00824|ok|
prod-00823|ok|
prod-00253|ok|
prod-00120|ok|
prod-00122|ok|
prod-00121|ok|
prod-00640|ok|
prod-00050|ok|
prod-00657|ok|
prod-00565|ok|
prod-00624|ok|
prod-00623|ok|
prod-00562|ok|
prod-00561|ok|
prod-00394|ok|
prod-00305|ok|
prod-00264|ok|
prod-00087|ok|
prod-00148|ok|
