"id","nombre","categoria","imagen_actual","imagen_real"
"prod-00868","ENALAPRIL MALEATO 5MG BLISTER","Adulto mayor","imagenesmedimentos/enalapril20mg.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00868"
"prod-00432","LOSARTAN 50MG EXPOFARMA 30CAPS","Adulto mayor","imagenesmedimentos/losartan50mg.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00432"
"prod-00433","ACETAMINOFEN 150MG JARABE 120M","Analgésicos","imagenesmedimentos/Acetaminofen500mg.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00433"
"prod-00896","ACETAMINOFEN 500MG+CAFEINA 65M","Analgésicos","imagenesmedimentos/Acetaminofen500mg.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00896"
"prod-00422","ACETAMINOFEN/CODEINA AG 30MG","Analgésicos","imagenesmedimentos/Acetaminofen500mg.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00422"
"prod-00119","CARDIOASPIRINA 100 MG 30 TABLE","Analgésicos","imagenesmedimentos/aspirina500mg.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00119"
"prod-00124","CARDIOASPIRINA 81 MG 30 TABLET","Analgésicos","imagenesmedimentos/aspirina500mg.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00124"
"prod-00046","DOLEX JARABE NIÑOS 2+","Analgésicos","imagenesmedimentos/dolex.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00046"
"prod-00045","DOLEX JARABE NIÑOS 7+","Analgésicos","imagenesmedimentos/dolex.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00045"
"prod-00581","DOLEX TABLETAS MASTICABLES 2+","Analgésicos","imagenesmedimentos/dolex.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00581"
"prod-00329","HIOSCINA + DIPIRONA 20MG AMPOL","Analgésicos","imagenesmedimentos/buscapnacompositum.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00329"
"prod-00244","AMOXICILINA 100ML SUSPENS AG","Antibióticos","imagenesmedimentos/amoxicilina500mg.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00244"
"prod-00490","AMOXICILINA 250MG SUSPENSION G","Antibióticos","imagenesmedimentos/amoxicilina500mg.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00490"
