id,nombre,categoria,imagen
prod-00901,GLUCOPHAGE 500MG METFORMINA,Adulto mayor,imagenesmedimentos/metformina850mg.png
prod-00900,IBUPROFENO 800MG LAPROFF,Antiinflamatorios,imagenesmedimentos/Ibuprofeno800mg.png
prod-00899,CLARITROMICINA 500 MG LAPROFF,Antibióticos,imagenesmedimentos/genericas/antibioticos.svg
prod-00898,KIT NEBULIZADOR PEDIATRICO,Otros,imagenesmedimentos/genericas/otros.svg
prod-00897,KIT NEBULIZADOR ADULTO,Otros,imagenesmedimentos/genericas/otros.svg
prod-00889,ISOFLAVONAS DE SOYA 500MG,Otros,imagenesmedimentos/genericas/otros.svg
prod-00877,VALSARTAN 160MG MK,Otros,imagenesmedimentos/genericas/otros.svg
prod-00876,VALSARTAN 80MG MK,Otros,imagenesmedimentos/genericas/otros.svg
prod-00873,LOSARTAN 50MG LA SANTE,Adulto mayor,imagenesmedimentos/losartan50mg.png
prod-00865,CLARITROMICINA 250MG/5ML,Antibióticos,imagenesmedimentos/genericas/antibioticos.svg
prod-00864,BAJALENGUAS DE MADERA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00859,BELLAFACE SUAVE 28 TABLETAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00857,VIVE 100 ORIGINAL 310ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00855,BUSCAPINA FEM,Analgésicos,imagenesmedimentos/buscapnacompositum.jpg
prod-00854,CIRUELAX 20 TABLETAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00853,CENTRUM WOMEN 30 TABLETAS,Vitaminas,imagenesmedimentos/centrum.jpg
prod-00850,CENTRUM MEN 30 TABLETAS,Vitaminas,imagenesmedimentos/centrum.jpg
prod-00849,CENTRUM ADVANCE 30 TABLETAS,Vitaminas,imagenesmedimentos/centrum.jpg
prod-00848,DOLEX FORTE,Analgésicos,imagenesmedimentos/dolex.jpg
prod-00844,TIQUEPIN QUETIAPINA 25MG,Otros,imagenesmedimentos/genericas/otros.svg
prod-00843,DOMICILIO,Otros,imagenesmedimentos/genericas/otros.svg
prod-00842,GINGO BILOBA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00840,SMECTA SOBRE,Otros,imagenesmedimentos/genericas/otros.svg
prod-00839,VASO ALOHA KOLA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00838,GALLETA HELADO JUMBO,Otros,imagenesmedimentos/genericas/otros.svg
prod-00837,GALLETA HELADO NAPOLITANA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00835,PALETA CHOCOLISTO CHOCOLATE,Otros,imagenesmedimentos/genericas/otros.svg
prod-00834,PALETA POLET CEREZA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00832,PALET POLET CHOCOAVELLANA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00831,HELADO CASERO COCO,Otros,imagenesmedimentos/genericas/otros.svg
prod-00830,HELADO CASERO RON PASAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00829,HELADO CASERO GUANABANA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00828,HELADO CASERO YOGURT FRESA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00827,HELADO ARTESANAL MARACUYA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00826,HELADO ARTESANAL TRES LECHES,Otros,imagenesmedimentos/genericas/otros.svg
prod-00825,HELADO ARTESANAL MANDARINA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00822,PAÑALES WINNY PANTS ETAPA 4,Bebés,imagenesmedimentos/pañaleshuggies.jpg
prod-00819,HIDRAPLUS 75 ZINC 400ML UVA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00818,AMPER ENERGY 473ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00816,RED BULL LATA 250ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00808,PALETA ALOHA LIMON,Otros,imagenesmedimentos/genericas/otros.svg
prod-00807,PALETA ALOHA NARANJA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00806,PALETA JET GOOL,Otros,imagenesmedimentos/genericas/otros.svg
prod-00803,CHOCOCONO X90G,Otros,imagenesmedimentos/genericas/otros.svg
prod-00799,ABRILAR EA 575 JARABE 100ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00787,ACONDIC SAVITAL 490ML ELIXIR R,Otros,imagenesmedimentos/genericas/otros.svg
prod-00784,SHAMPO DOVE RECONSTRUCCION + A,Otros,imagenesmedimentos/genericas/otros.svg
prod-00781,ACONDICIONADOR DOVE RECONSTRUC,Otros,imagenesmedimentos/genericas/otros.svg
prod-00776,CREMA DENTAL NIÑOS PROQUIDENT,Cuidado personal,imagenesmedimentos/genericas/cuidado-personal.svg
prod-00773,ACONDICIONADOR BAMBU PANTENE 4,Otros,imagenesmedimentos/genericas/otros.svg
prod-00771,PESTAÑINA MAX FACTOR PROMO,Otros,imagenesmedimentos/genericas/otros.svg
prod-00760,SERUM DREAMLISO 100ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00754,SHAMPO REPARA TOTAL5 ELVIVE 37,Otros,imagenesmedimentos/genericas/otros.svg
